SRA	Sample	Condition	Forward_Reads	Reverse_Reads
EGfast-EG1	EGfast-EG1	Egfast-EG	EGfast-EG1_1.fastq	EGfast-EG1_2.fastq
EGfast-EG2	EGfast-EG2	Egfast-EG	EGfast-EG2_1.fastq	EGfast-EG2_2.fastq
EGfast-EG3	EGfast-EG3	Egfast-EG	EGfast-EG3_1.fastq	EGfast-EG3_2.fastq
wt-Ac1	wt-Ac1	wt-Ac	wt-Ac1_1.fastq	wt-Ac1_2.fastq
wt-Ac2	wt-Ac2	wt-Ac	wt-Ac2_1.fastq	wt-Ac2_2.fastq
wt-Ac3	wt-Ac3	wt-Ac	wt-Ac3_1.fastq	wt-Ac3_2.fastq
wt-EG1	wt-EG1	wt-EG	wt-EG1_1.fastq	wt-EG1_2.fastq
wt-EG2	wt-EG2	wt-EG	wt-EG2_1.fastq	wt-EG2_2.fastq
wt-EG3	wt-EG3	wt-EG	wt-EG3_1.fastq	wt-EG3_2.fastq
wt-GlyAc1	wt-GlyAc1	wt-GlyAc	wt-GlyAc1_1.fastq	wt-GlyAc1_2.fastq
wt-GlyAc2	wt-GlyAc2	wt-GlyAc	wt-GlyAc2_1.fastq	wt-GlyAc2_2.fastq
wt-GlyAc3	wt-GlyAc3	wt-GlyAc	wt-GlyAc3_1.fastq	wt-GlyAc3_2.fastq
